id,titulo,categoria,fecha_inicio,fecha_fin,objetivo,recompensas
KS016,Miniaturas Pintadas a Mano,Juegos,2024-07-11,2024-08-28,25000.0,35:140:Pack 5 Unidades;65:95:Pack 10;129:50:Set Campaña
CF081,Set de Pinceles Profesionales,Arte,2021-04-14,2021-06-12,5000.0,Básico 10 Piezas@39@150|Intermedio 20@69@110|Maestro 40@129@55
KS040,Sketchbook del Artista,Cómic,2024-05-06,2024-06-04,100000.0,15:210:Digital;30:120:Físico;60:50:Con Dedicatoria
KS046,Chaqueta Impermeable Técnica,Moda,2023-07-19,2023-08-13,50000.0,89:110:S-M;89:140:L-XL;99:60:XXL
CF025,Documental: Historia del Jazz,Música,2021-12-01,2022-01-24,100000.0,Streaming@15@280|Blu-ray@35@120|Edición Coleccionista@69@50
KS062,Filtros ND Variables,Fotografía,2022-05-23,2022-07-01,10000.0,35:140:52mm;49:120:77mm;119:50:Kit 3 Tamaños
CF043,Reloj Inteligente Híbrido,Moda,2024-10-28,2024-12-26,50000.0,Correa Silicona@149@95|Correa Cuero@179@110|Edición Oro@249@45
CF053,Kit Cerveza Artesanal Casera,Comida,2022-09-22,2022-11-01,5000.0,Básico@49@120|Intermedio@89@85|Maestro Cervecero@149@45
CF019,Bandeja de Dados Premium,Juegos,2021-06-13,2021-07-22,10000.0,Madera@25@160|Cuero@45@95|Personalizada@75@50
KS038,Antología: Los Mejores del Año,Cómic,2021-04-07,2021-05-09,15000.0,22:160:Tapa Blanda;42:95:Tapa Dura;79:45:Numerada
CF023,Interfaz de Audio USB,Música,2024-10-04,2024-11-15,10000.0,2 Canales@79@110|4 Canales@149@85|8 Canales Pro@299@35
CF093,Iconos SVG Colección,Diseño,2022-01-16,2022-02-14,10000.0,500 Iconos@25@210|2000 Iconos@59@130|10000 + Updates@129@55
CF075,Masterclass de Dirección,Cine,2023-04-05,2023-05-21,10000.0,Online@79@110|Con Certificado@129@75|Mentoría 1-1@299@25
CF077,Animación: El Bosque Mágico,Cine,2024-01-04,2024-02-26,15000.0,SD@8@320|HD@15@210|4K + Storyboard@35@75
CF079,Libro: Historia del Cine Negro,Cine,2023-08-06,2023-09-15,10000.0,eBook@18@220|Tapa Blanda@32@130|Tapa Dura Ilustrada@59@60
KS030,Software de Producción Musical,Música,2022-03-09,2022-04-23,25000.0,99:95:Licencia Individual;59:75:Upgrade;199:40:Bundle Plugins
CF031,Novela Gráfica: La Ciudad Sumergida,Cómic,2024-09-04,2024-10-30,100000.0,Digital@12@280|Tapa Blanda@25@190|Tapa Dura@45@95
KS050,Cinturón Reversible Premium,Moda,2024-01-10,2024-03-08,5000.0,39:170:Cuero;69:95:Cuero Italiano;99:45:Edición Especial
KS058,Pasta Artesanal Seca,Comida,2022-03-10,2022-05-08,25000.0,29:200:Pack 5 Tipos;55:120:Pack 10;149:50:Suscripción 6 Meses
KS054,Chocolate Bean-to-Bar Premium,Comida,2022-05-09,2022-06-08,10000.0,29:190:Pack 3 Barras;55:130:Pack 6;199:50:Suscripción Anual
KS066,Objetivo Gran Angular,Fotografía,2021-05-19,2021-06-15,75000.0,299:65:Early Bird;349:85:Estándar;399:40:Con Filtros
CF047,Bufanda Inteligente Calefactable,Moda,2023-10-23,2023-11-28,10000.0,Early Bird@45@130|Estándar@59@95|Con Batería Extra@79@50
CF007,Lámpara LED Inteligente,Tecnología,2024-02-24,2024-04-01,100000.0,Una Unidad@29@180|Pack 3@79@140|Pack 6@139@60
CF089,Exposición Virtual Interactiva,Arte,2022-03-22,2022-04-19,5000.0,Acceso 1 Mes@15@250|Acceso 1 Año@49@120|Vitalicio@99@55
KS042,Mochila Minimalista,Moda,2024-02-08,2024-03-04,10000.0,49:180:15L;69:140:25L;89:70:35L Pro
KS026,Metrónomo Digital Avanzado,Música,2022-07-07,2022-09-05,25000.0,25:150:Básico;39:110:Con Afinador;59:65:Pro
KS012,Expansión: Dragones del Norte,Juegos,2021-07-09,2021-08-27,10000.0,19:320:Digital;29:240:Física;45:110:Bundle
CF095,Curso Diseño UX/UI Completo,Diseño,2021-09-03,2021-10-13,5000.0,Básico@79@110|Avanzado@149@75|Con Mentoría@299@35
KS076,Pack Guiones Ganadores,Cine,2022-05-25,2022-07-01,25000.0,25:190:PDF;45:95:Impreso;89:45:Con Anotaciones
KS074,Película Independiente: Raíces,Cine,2021-04-21,2021-05-22,5000.0,10:350:VOD;20:180:DVD;40:80:Blu-ray + Extras
CF063,Mochila para Cámara Impermeable,Fotografía,2022-11-24,2022-12-20,25000.0,15L@69@130|25L@99@95|35L Pro@149@50
CF067,Estabilizador Gimbal 3 Ejes,Fotografía,2021-05-26,2021-07-22,25000.0,Smartphone@79@110|Cámara Mirrorless@199@75|DSLR Pro@349@35
KS024,Micrófono de Condensador,Música,2024-06-01,2024-07-06,25000.0,69:140:Early Bird;89:95:Con Filtro Anti-Pop;129:55:Kit Completo
CF049,Calcetines Técnicos Running,Moda,2021-11-10,2021-12-28,15000.0,Pack 3@25@240|Pack 6@45@180|Pack 12@79@85
KS092,Tipografías Premium Bundle,Diseño,2021-04-27,2021-06-23,10000.0,39:160:5 Familias;89:95:15 Familias;199:45:50 Familias
CF005,Webcam 4K Pro,Tecnología,2021-03-03,2021-04-02,25000.0,Early Bird@79@140|Estándar@99@200|Con Trípode@129@75
