id_envio,cliente,fecha_salida,fecha_entrega,origen,destino,transporte,prioridad,segmento,peso_kg,coste
E001,TechNova,2024-01-02,2024-01-05,Madrid,Barcelona,Camion,ALTA,Electronica,450,780
E002,FrescoMarket,2024-01-04,2024-01-06,Valencia,Madrid,Refrigerado,ALTA,Alimentacion,320,650
E003,ArtesaniaSur,2024-01-06,2024-01-09,Sevilla,Bilbao,Camion,MEDIA,Artesania,180,420
E004,GreenLog,2024-01-10,2024-01-14,Madrid,Paris,Aereo,ALTA,Energia,90,1200
E005,NorteTextil,2024-01-12,2024-01-16,Santander,Barcelona,Maritimo,MEDIA,Textil,780,980
E006,TechNova,2024-02-01,2024-02-04,Madrid,Lisboa,Camion,BAJA,Electronica,210,360
E007,FrescoMarket,2024-02-05,2024-02-07,Valencia,Sevilla,Refrigerado,MEDIA,Alimentacion,150,310
E008,GreenLog,2024-02-09,2024-02-12,Bilbao,Hamburgo,Maritimo,ALTA,Energia,600,1500
E009,SierraCafe,2024-02-11,2024-02-13,Granada,Madrid,Camion,MEDIA,Alimentacion,95,230
E010,ArtesaniaSur,2024-03-02,2024-03-05,Sevilla,Valencia,Camion,BAJA,Artesania,140,280
E011,NorteTextil,2024-03-04,2024-03-09,Santander,Lyon,Maritimo,ALTA,Textil,900,1350
E012,TechNova,2024-03-10,2024-03-13,Madrid,Barcelona,Aereo,ALTA,Electronica,160,980
E013,FrescoMarket,2024-03-14,2024-03-16,Valencia,Berlin,Refrigerado,ALTA,Alimentacion,260,890
E014,SierraCafe,2024-03-20,2024-03-22,Granada,Paris,Camion,MEDIA,Alimentacion,110,360
